ablation_name,event_id,sequence_id,proposal_detected,is_focus_event,baseline_target_rank,e32b_target_rank,baseline_top1_bundle_id,e32b_top1_bundle_id,baseline_target_in_top3,e32b_target_in_top3,baseline_target_in_top5,e32b_target_in_top5,baseline_success,e32b_success,delta_class,baseline_false_reason,e32b_false_reason
A10_full_E32b_no_bundle552_swap,M-RE-TC-006,track_c_long_horizon,1,0,3,3,338,338,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-002,track_c_long_horizon,1,0,4,4,351,351,0,0,1,1,0,0,unchanged_failure,target_not_in_top3,target_not_in_top3
A10_full_E32b_no_bundle552_swap,M-LG-TC-001,track_c_long_horizon,1,0,,,413,413,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A10_full_E32b_no_bundle552_swap,M-LG-TC-007,track_c_long_horizon,1,0,,,429,429,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A10_full_E32b_no_bundle552_swap,M-RE-TC-008,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A10_full_E32b_no_bundle552_swap,M-RE-TC-009,track_c_long_horizon,1,0,1,1,459,459,1,1,1,1,1,1,unchanged_success,,
A10_full_E32b_no_bundle552_swap,M-RE-TC-010,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-011,track_c_long_horizon,1,0,3,3,518,518,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-003,track_c_long_horizon,1,0,,,552,552,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
A10_full_E32b_no_bundle552_swap,M-RE-TC-012,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A10_full_E32b_no_bundle552_swap,M-RE-TC-013,track_c_long_horizon,1,1,1,1,544,544,1,1,1,1,1,1,unchanged_success,,
A10_full_E32b_no_bundle552_swap,M-RE-TC-014,track_c_long_horizon,1,1,1,1,590,590,1,1,1,1,1,1,unchanged_success,,
A10_full_E32b_no_bundle552_swap,M-RE-TC-015,track_c_long_horizon,1,0,2,2,636,636,1,1,1,1,0,0,unchanged_failure,baseline_top1_high_confidence_correct_or_ambiguous,baseline_top1_high_confidence_correct_or_ambiguous
A10_full_E32b_no_bundle552_swap,M-RE-TC-016,track_c_long_horizon,1,0,1,1,638,638,1,1,1,1,1,1,unchanged_success,,
A10_full_E32b_no_bundle552_swap,M-RE-TC-017,track_c_long_horizon,1,0,,,638,638,0,0,0,0,0,0,unchanged_failure,target_not_in_top5,target_not_in_top5
